,plasma-version,cmake-version,openblas-version
nlszbkhb523znawzsjuc4so67fqstdmj,20.9.20,3.9.2,0.2.15
npjk5nab7wlw4iqfhpl5ky4osbnq3fq3,19.8.1,3.10.0,0.2.17
nqa7vj3x7giqwrhn2tedgm74xbfgqoaf,19.8.1,3.19.7,0.3.16
nqjpskaiang6wgxijdb4dvhd7edjfyoh,21.8.29,3.20.5,0.3.13
nsawypg3sea2i4nrtabbd3twfbcebmjl,18.11.1,3.19.8,0.2.19
nt3265cvhqaz7vgm4yebqjnrck4n54yl,21.8.29,3.21.2,0.3.16
nw7sg5xvi2kx77ne4oqavox2vxzunya3,17.1,3.19.3,0.3.12
nwrrvso325dntlw37zmrb3kypv2o4djq,21.8.29,3.15.3,0.3.18
o3mlx4q5z2lxjvm52hyxq7akqgzglilb,21.8.29,3.21.2,0.2.20
o4hz3bigkpxfzatxyjaw5nhrqojnqukh,21.8.29,3.12.3,0.3.8
o6v7zynvyzedibfoj7kugrugbf3fnni4,19.8.1,3.10.0,0.3.6
oj2udfzlc6lawg52qum63qiip23spqis,19.8.1,3.15.2,0.3.12
ojxqrakv3ngyqv3henflhh2be242bbfg,21.8.29,3.10.1,0.3.5
ok4ckuh457xe446s2q3vqsseda3miksu,17.1,3.5.0,0.3.8
olf5g47rmzv5vfgmrx2c2bjspb5wcccw,17.1,3.10.3,0.3.16
oo4ovr6ldrr3hfilqsmxgptjw7chuac5,17.1,3.0.2,0.2.15
opelo5bpkk2czfbdclv77qbodi7u4mcr,20.9.20,3.12.0,0.3.4
oskotb2k3hw2wnls45oqpqj2vospc5z2,19.8.1,3.19.2,0.2.15
oujpmcwwvfs5veuacj3u6b4dh55ezhsc,21.8.29,3.16.7,0.3.14
ow6ynruxgl64o3ie77a5ldq7lvubugcq,19.8.1,3.21.3,0.3.9
owc2j6ew25ksg2xhu3lvwmmqcwys2djr,21.8.29,3.14.4,0.2.17
owmf6ytik5gc75rphgservkloy5hztaz,17.1,3.11.1,0.3.8
p3q7hffww6x4nachfujzlbqfnoins5bn,20.9.20,3.9.6,0.3.17
pclnkutrkj23p7i7dc5in54327zxpcyy,20.9.20,3.18.3,0.3.13
peearqmeoggodhan747exz7vicnmhwat,20.9.20,3.18.6,0.2.20
pexqvdfrtusdqn2qnbbzc32sb326tosl,20.9.20,3.15.2,0.3.17
phpp5rwh4mhd7blfqha4bsopwjq3rl7p,21.8.29,3.14.4,0.2.20
piomxqpzfmycqd6ok7dxvd35ftyfrn3k,17.1,3.13.2,0.3.14
pliznsubeb4jphagp2ieaz6g3bxbxtjk,21.8.29,3.19.0,0.2.18
pmzhug42q5eabeeqg2q4gpe3umzaqhmk,20.9.20,3.16.9,0.3.4
ppmqogkwewwxejgudctbxrryfwbaqe4a,17.1,3.15.0,0.3.9
pyrdiuyd5vtlnghyczvogc4b3waopq6b,17.1,3.13.0,0.3.8
q2q3en67akg6vnzjrt63dgzjzeihimo2,17.1,3.20.0,0.3.14
q3henctslgwraumi7c2mbleyz5fukyld,21.8.29,3.18.6,0.3.7
q5pl5beojlxbabs3co2434ypefb4buh5,21.8.29,3.13.3,0.2.18
qchfl6t2xquqvbjbioomd4gggkbeasoo,19.8.1,3.15.3,0.3.4
qhack2e6nymvnb4rytpbzk3q6jg6vcsw,20.9.20,3.19.1,0.2.16
qjhw6ikdwigduoljzpmyipi623vqew6c,18.11.1,3.18.5,develop
qjkst4uc3e4hsxl4fzasqtkqlxkvshld,20.9.20,3.14.2,0.3.17
qoj3tbkb3423mvowd4pwpc4dk56fsieo,20.9.20,3.16.5,0.3.18
quotdeatgsabikiwnxoq52catzjoovvq,19.8.1,3.22.1,0.2.20
qwnw6z4ds3twfxsmdbxmlkyzhtdetdgm,18.11.1,3.19.2,0.3.6
qxgv6w42p2scg6jeh5wctuvrj23ayhxu,21.8.29,3.20.5,0.3.15
r5fzc3iaxqo7z4x45jq23wrssr67zpvv,19.8.1,3.10.2,0.3.16
rbzcvtakgt5boc24fw2do6hjqacz6h6t,21.8.29,3.21.3,0.3.18
reenpvkadascmx5pbnp5spkroq3q3al2,21.8.29,3.13.0,0.3.14
ro5pxmqlxbbbo25mkec64e6qih2oyl6b,20.9.20,3.14.7,0.3.16
rqdyroa5kchbbc55flaz6lr2we5jmte4,21.8.29,3.20.4,0.3.7
rqwclnvuppsuvi3sw4qrnwb6m4ji7gli,20.9.20,3.11.0,0.3.11
rsrtx2wzelu7v6eygk6dsuu4q5wc5ckt,19.8.1,3.13.2,0.3.5
ruj5j737krx6novgbttyfbgs2j36wvrh,17.1,3.5.1,0.3.9
ruox6qugcxlb4eap24wxzbrhnhm62fks,19.8.1,3.16.3,0.3.10
rwbz4pw7nv7q4ssjnpwxlp3n64adbviy,17.1,3.14.2,0.3.12
rwdjbc2dffpnzv3ruusji3xh3sgveqmy,19.8.1,3.20.1,0.2.20
rysjatv5rap4rvtgc7ltfjohqfrtan4n,21.8.29,3.14.2,0.2.18
s6if5pk7ahdm4na26sq3tb4dpq2nnkl2,21.8.29,3.13.2,0.3.13
s6u3bgpa7xt37u5u225za6gfi4hzejf4,21.8.29,3.17.3,0.2.16
sc2yyhxnzwmgprdlucnnxws6fdfm4sox,21.8.29,3.12.4,0.2.17
shnakdshoh4wnhwvt6tu3o6kznydqlg7,21.8.29,3.20.4,0.3.11
sjrvt56h6gzttxh5jttfe5mpsimqjmgp,18.11.1,3.13.0,0.3.18
sp5liyco5tejfpjpw3gn6uohs7mynprx,21.8.29,3.18.3,0.2.15
sp5z3djqv64bdcsdrmipd7pi6l4ykelb,18.11.1,3.15.3,0.3.18
sufg4oobketiyhdqsi4h4tq6a3ubrtnc,19.8.1,3.11.0,0.3.5
svnsmw4jwwz7db6hjzycuptu3hdxront,19.8.1,3.12.4,0.3.18
sw257j7nwpgyq6icozbxix67yw4dsa2z,21.8.29,3.19.6,0.3.9
swxnueyopjeunwtlsrqckhuzrjwfjp2g,17.1,3.19.0,0.3.5
sxuizy4ylffuowsx4lgaroc2x2atydlm,18.11.1,3.20.1,0.3.10
sy2xidw3x4l2hkeezgdl6bjxoriwjqwx,20.9.20,3.14.2,0.3.15
t3ubhaboen6w55dqj46vniq2f3hmozct,18.11.1,3.17.4,0.2.15
tcfzejq6sm6n44btsimbnicaduvhsgz5,18.11.1,3.21.3,0.2.20
tl4uj7cobiblg6nx3zmbeasj7elagagh,18.11.1,3.18.1,0.3.5
tp2mpzstd5ujkgi3zmb5ulcbjk42ruvd,19.8.1,3.18.4,0.3.16
tqbujpm6w6wasodmhlcyhbv6ffkakgz7,17.1,3.17.3,0.3.6
trd35jh3puskxuahat2aplhmw7r2lqjq,20.9.20,3.18.3,0.3.8
