,cmake-version,kokkos-version
4vwppghzj5lu6fri4m4yif7d2xicw7oz,3.13.1,develop
4wfxwlpgconom656wjknmhhs7aphy7lj,3.15.4,3.4.00
5nn43dblmtgnez2w7cky2v2dzmi225ge,3.16.5,3.4.01
5of7fbdavekmrbjf7h5nurmnotnrykse,3.18.6,3.4.00
5twm7eeqymm4n7dva4wdfaazhm74yovd,3.13.5,master
5vt6yaguqm3tqxg4jh2fe26xcjxwb725,3.16.3,master
5ysdgcujt6knmaed6zdvt7oy3auqkgcq,3.21.0,master
64a6a7xekq3ovjg7nz74y5my75zclorb,3.14.5,3.4.01
6g6427z7lw53msf7grvjbxf3dvxoqu7j,3.12.2,master
6kr2ncmukyuyszyfvwbysagrtaygwa5d,3.11.2,3.2.00
6rs45k73c75cjak4z4ctlqrkmoczgptz,3.14.6,3.4.01
7fv23reqxdti2g4qa6zzp5t7zafkfvah,3.14.2,3.3.01
7jegozd4q4tgcn3ql4fim6mhgcjzup2n,3.10.1,develop
7jirip6uczimwyzlxtzewx7yg3g5sag7,3.12.4,master
7kahh3ocsmjidtvbke2jmbpliga7542h,3.11.0,3.2.00
7llhksvxdzl72xk636iatzdbmbw2f356,3.13.4,3.4.01
7rgmcvsgq5l4n6eldy2vinkian77sgvo,3.21.3,3.4.00
afnr262dlz5ltjo5pe4dfpdhpva7my3a,3.14.2,master
ajqd4hj27ghyvi4k3co43brtx2426leq,3.12.3,master
ajzcpnyrx2t25oxrnzgz5jebbylsk3ny,3.15.2,3.4.00
aqjbw4sbtiroknxidkposkqpxf3soyks,3.20.2,3.3.01
av7okf6cclkzd7fthrao4agg6ivsz7a4,3.13.2,develop
aztv7bwhcwumw3pek7ixm4z3kivfsuh4,3.10.3,3.2.00
b63bcnvhi5pe42cgd7hiezlc2s2yjsb2,3.20.5,3.0.00
bdc5dsn4kanjci4xh3qlnpj3ls7jpo3z,3.11.2,3.4.00
bocbeponosxwtygmgmbdral2eitogp6j,3.20.5,3.4.00
bpjroxel3zstjomle666azxlipiangp2,3.13.4,3.4.00
c5sfdsvxey6fzauspqpeztq2szkhd2iy,3.15.3,3.4.01
casamlh6wxquzk5yqrae24cwsi7q4pfv,3.18.1,3.4.01
ccgsoebacs7gk46fqeyrhglpp3ot7xqi,3.13.2,master
cewju3cjjvj2k2kqxykx5inmhykuklwn,3.12.1,3.4.01
cipvlnjh5hwqxtuantp2fekgmnm64rsp,3.18.4,3.3.01
cllk3or7srx3th2a7xrsnq3km22uqhom,3.12.0,develop
cly62ccwwnccxf3rl6cgwp6aopy5feyl,3.14.4,3.4.01
crx7a3c5tve2fgl4f6rexdfiqgwumg2x,3.15.4,3.4.01
ct7jucypdrkwi4f5avbbndvpbaw4hmkm,3.10.2,3.4.00
cvlwwjzxicvueqw5td3ixvivo4cd2dxn,3.19.6,3.4.01
d4s4da5fdghnp45tssxzg5z3ctqdikxq,3.13.4,master
d5spuyvxsxgqjck7puzfbrr23xwfyd53,3.14.0,master
d7ea36ye52zkzteoby5bieygyf5fihiy,3.18.2,3.3.01
daly776ainqneuoqxez7ayuzmupu3nc2,3.14.7,3.4.00
dfzbw7nw3ch6z2tlcrspsjo6tkjrp7rx,3.16.2,3.1.00
dgtfyqthw4bkm535sg7ag446wjn5ysst,3.14.1,3.4.00
dkv3zitypnysu4seathnjao5pidvksod,3.14.4,develop
dn3vbelniraqivruau76vytgiqnmtkwn,3.15.3,master
dtg52byzq7s2c53gnaxyibq6idazafhq,3.17.0,3.1.00
du7zsqcehbr7no35ebmoo3duyb23lvjq,3.13.3,develop
